Power True,Current [A],Voltage [V],h2 flow [NL/h],production rate [%],stack state,Power [W],h2 flow [kg/h],efficiency lhv
True,1.312,35.24,12.621,80.0,rampup1,46.234880000000004,0.0010413366336633665,0.7506832503945073
True,1.313,35.379,12.624,80.0,rampup1,46.45262699999999,0.0010415841584158416,0.7473420179229047
True,1.335,35.191,12.842,80.0,rampup1,46.979985,0.0010595709570957097,0.7517137351150708
True,1.344,35.517,12.928,80.0,rampup1,47.73484800000001,0.0010666666666666667,0.7447808360047569
True,1.343,35.567,12.916,80.0,rampup1,47.766481,0.0010656765676567658,0.7435967493607076
True,1.372,35.052,13.192,80.0,rampup1,48.09134400000001,0.0010884488448844884,0.7543561269570672
True,1.388,35.714,13.351,80.0,rampup1,49.571031999999995,0.0011015676567656767,0.7406593834883246
True,1.41,35.835,13.56,80.0,rampup1,50.52735,0.001118811881188119,0.738016143732058
True,1.438,35.903,13.827,80.0,rampup1,51.628513999999996,0.001140841584158416,0.7364970837626666
True,1.476,36.037,14.198,80.0,rampup1,53.190611999999994,0.0011714521452145215,0.7340487076930043
True,1.552,34.926,14.925,80.0,rampup1,54.205152000000005,0.0012314356435643564,0.7571927849219939
True,1.506,36.15,14.488,80.0,rampup1,54.4419,0.0011953795379537953,0.7318260384005701
True,1.551,36.228,14.913,80.0,rampup1,56.189628,0.0012304455445544555,0.7298633477338557
True,1.575,36.346,15.152,80.0,rampup1,57.244949999999996,0.00125016501650165,0.7278895343606727
True,1.632,36.473,15.699,80.0,rampup1,59.52393599999999,0.0012952970297029703,0.7252922588990083
True,1.655,36.532,15.918,80.0,rampup1,60.46046,0.0013133663366336633,0.7240186396200095
True,1.731,36.681,16.645,80.0,rampup1,63.494811,0.0013733498349834984,0.7209053665818456
True,1.896,34.817,18.23,80.0,rampup1,66.013032,0.0015041254125412542,0.7594333797605297
True,1.798,36.811,17.289,80.0,rampup1,66.186178,0.0014264851485148516,0.7183486255997439
True,1.814,36.866,17.443,80.0,rampup1,66.87492400000001,0.0014391914191419144,0.7172830581459801
True,1.901,37.003,18.278,80.0,rampup1,70.342703,0.001508085808580858,0.7145659443880056
True,1.976,37.132,19.008,80.0,rampup1,73.37283199999999,0.0015683168316831682,0.7124162796387633
True,2.026,37.199,19.486,80.0,rampup1,75.36517399999998,0.001607755775577558,0.7110246968978008
True,2.107,37.325,20.26,80.0,rampup1,78.64377500000002,0.0016716171617161717,0.7084476806969146
True,2.189,37.442,21.05,80.0,rampup1,81.960538,0.001736798679867987,0.7062850173091836
True,2.271,37.53,21.836,80.0,rampup1,85.23063,0.0018016501650165015,0.7045471798108262
True,2.344,37.638,22.545,80.0,rampup1,88.22347199999999,0.0018601485148514853,0.7027466568080659
